Length: 10, Average Loss: 1.8769, Std: 1.0578, Max Loss: 14.2597, Max Std: 9.2455, Samples: 1110
Length: 11, Average Loss: 1.5760, Std: 0.7228, Max Loss: 12.9330, Max Std: 7.3832, Samples: 909
Length: 12, Average Loss: 1.5561, Std: 0.6235, Max Loss: 12.6895, Max Std: 6.5906, Samples: 1010
Length: 13, Average Loss: 1.2107, Std: 0.4750, Max Loss: 10.3963, Max Std: 5.2061, Samples: 10393
Length: 14, Average Loss: 1.1858, Std: 0.4422, Max Loss: 10.3636, Max Std: 4.9925, Samples: 8779
Length: 15, Average Loss: 1.1400, Std: 0.3991, Max Loss: 10.2512, Max Std: 4.7665, Samples: 8742
Length: 16, Average Loss: 1.1335, Std: 0.3956, Max Loss: 10.3155, Max Std: 4.5727, Samples: 7904
Length: 17, Average Loss: 1.1256, Std: 0.3691, Max Loss: 10.5529, Max Std: 4.4804, Samples: 7229
Length: 18, Average Loss: 1.0921, Std: 0.3538, Max Loss: 10.4172, Max Std: 4.4714, Samples: 7694
Length: 19, Average Loss: 1.0995, Std: 0.3509, Max Loss: 10.8142, Max Std: 4.6086, Samples: 7732
Length: 20, Average Loss: 1.1024, Std: 0.3503, Max Loss: 11.0928, Max Std: 4.7260, Samples: 6995
Length: 21, Average Loss: 1.0860, Std: 0.3386, Max Loss: 11.1492, Max Std: 4.7951, Samples: 6859
Length: 22, Average Loss: 1.0617, Std: 0.3075, Max Loss: 11.1583, Max Std: 4.5807, Samples: 6590
Length: 23, Average Loss: 1.0381, Std: 0.2970, Max Loss: 11.2063, Max Std: 4.6719, Samples: 6321
Length: 24, Average Loss: 1.0164, Std: 0.2971, Max Loss: 11.1732, Max Std: 4.6062, Samples: 6453
Length: 25, Average Loss: 1.0201, Std: 0.2779, Max Loss: 11.4110, Max Std: 4.6952, Samples: 6084
Length: 26, Average Loss: 1.0102, Std: 0.2755, Max Loss: 11.5937, Max Std: 4.9043, Samples: 5452
Length: 27, Average Loss: 0.9538, Std: 0.2606, Max Loss: 11.1666, Max Std: 4.6203, Samples: 5683
Length: 28, Average Loss: 0.9321, Std: 0.2424, Max Loss: 11.0458, Max Std: 4.5378, Samples: 5078
Length: 29, Average Loss: 0.9182, Std: 0.2375, Max Loss: 11.2174, Max Std: 4.7080, Samples: 5848
Length: 30, Average Loss: 0.8922, Std: 0.2373, Max Loss: 10.9248, Max Std: 4.5496, Samples: 17762
Length: 31, Average Loss: 0.8762, Std: 0.2318, Max Loss: 10.9735, Max Std: 4.6541, Samples: 17401
Length: 32, Average Loss: 0.8674, Std: 0.2441, Max Loss: 10.9841, Max Std: 4.5591, Samples: 15991
Length: 33, Average Loss: 0.8613, Std: 0.2193, Max Loss: 11.1530, Max Std: 4.6827, Samples: 16494
Length: 34, Average Loss: 0.8486, Std: 0.2114, Max Loss: 11.0795, Max Std: 4.5845, Samples: 16724
Length: 35, Average Loss: 0.8285, Std: 0.2103, Max Loss: 11.0059, Max Std: 4.6083, Samples: 15784
Length: 36, Average Loss: 0.8277, Std: 0.2159, Max Loss: 11.1145, Max Std: 4.6173, Samples: 15920
Length: 37, Average Loss: 0.8380, Std: 0.2238, Max Loss: 11.4615, Max Std: 4.7391, Samples: 15917
Length: 38, Average Loss: 0.8213, Std: 0.2126, Max Loss: 11.3371, Max Std: 4.6497, Samples: 14418
Length: 39, Average Loss: 0.8106, Std: 0.2141, Max Loss: 11.4276, Max Std: 4.9928, Samples: 15444
Length: 40, Average Loss: 0.8178, Std: 0.2003, Max Loss: 11.4569, Max Std: 4.7709, Samples: 12318
Length: 41, Average Loss: 0.8197, Std: 0.2073, Max Loss: 11.7871, Max Std: 4.9444, Samples: 13718
Length: 42, Average Loss: 0.8067, Std: 0.1971, Max Loss: 11.8868, Max Std: 5.1458, Samples: 13385
Length: 43, Average Loss: 0.7887, Std: 0.1924, Max Loss: 11.7672, Max Std: 5.0804, Samples: 13751
Length: 44, Average Loss: 0.7947, Std: 0.1978, Max Loss: 11.9174, Max Std: 5.1149, Samples: 12285
Length: 45, Average Loss: 0.7873, Std: 0.1934, Max Loss: 12.0455, Max Std: 5.2111, Samples: 11307
Length: 46, Average Loss: 0.7875, Std: 0.2189, Max Loss: 12.0982, Max Std: 5.2567, Samples: 12081
Length: 47, Average Loss: 0.7868, Std: 0.2001, Max Loss: 12.2601, Max Std: 5.2464, Samples: 10779
Length: 48, Average Loss: 0.7769, Std: 0.1929, Max Loss: 12.1765, Max Std: 5.3544, Samples: 11267
Length: 49, Average Loss: 0.7785, Std: 0.1904, Max Loss: 12.3368, Max Std: 5.1202, Samples: 10909
Length: 50, Average Loss: 0.7863, Std: 0.1941, Max Loss: 12.5597, Max Std: 5.5365, Samples: 9772
Length: 51, Average Loss: 0.7753, Std: 0.1903, Max Loss: 12.5579, Max Std: 5.5049, Samples: 10139
Length: 52, Average Loss: 0.7749, Std: 0.1874, Max Loss: 12.6438, Max Std: 5.4627, Samples: 14342
Length: 53, Average Loss: 0.7730, Std: 0.1837, Max Loss: 12.7065, Max Std: 5.4075, Samples: 15589
Length: 54, Average Loss: 0.7748, Std: 0.1821, Max Loss: 12.8289, Max Std: 5.5133, Samples: 14336
Length: 55, Average Loss: 0.7576, Std: 0.1892, Max Loss: 12.7445, Max Std: 5.4376, Samples: 14776
Length: 56, Average Loss: 0.7811, Std: 0.2054, Max Loss: 13.1285, Max Std: 5.9454, Samples: 15078
Length: 57, Average Loss: 0.7676, Std: 0.1920, Max Loss: 13.1031, Max Std: 5.7884, Samples: 13949
Length: 58, Average Loss: 0.7416, Std: 0.1719, Max Loss: 12.8228, Max Std: 5.6462, Samples: 11674
Length: 59, Average Loss: 0.7503, Std: 0.1823, Max Loss: 12.9887, Max Std: 5.7718, Samples: 14807
Length: 60, Average Loss: 0.7357, Std: 0.1771, Max Loss: 12.7615, Max Std: 5.4095, Samples: 11104
Length: 61, Average Loss: 0.7514, Std: 0.1820, Max Loss: 13.0781, Max Std: 5.6262, Samples: 12521
Length: 62, Average Loss: 0.7650, Std: 0.1926, Max Loss: 13.5704, Max Std: 6.1619, Samples: 13018
Length: 63, Average Loss: 0.7422, Std: 0.1824, Max Loss: 13.2503, Max Std: 5.6203, Samples: 10869
Length: 64, Average Loss: 0.7511, Std: 0.1868, Max Loss: 13.3841, Max Std: 5.9932, Samples: 11569
Length: 65, Average Loss: 0.7389, Std: 0.1816, Max Loss: 13.4302, Max Std: 6.0192, Samples: 11639
Length: 66, Average Loss: 0.7425, Std: 0.1838, Max Loss: 13.3793, Max Std: 6.0739, Samples: 11170
Length: 67, Average Loss: 0.7478, Std: 0.1741, Max Loss: 13.6565, Max Std: 5.8630, Samples: 10435
Length: 68, Average Loss: 0.7489, Std: 0.1698, Max Loss: 13.6958, Max Std: 5.8751, Samples: 11878
Length: 69, Average Loss: 0.7395, Std: 0.1810, Max Loss: 13.7746, Max Std: 6.2266, Samples: 11937
Length: 70, Average Loss: 0.7637, Std: 0.1895, Max Loss: 14.1155, Max Std: 6.2337, Samples: 10528
Length: 71, Average Loss: 0.7312, Std: 0.1674, Max Loss: 13.6162, Max Std: 5.6709, Samples: 9966
Length: 72, Average Loss: 0.7377, Std: 0.1714, Max Loss: 13.9200, Max Std: 6.1023, Samples: 9935
Length: 73, Average Loss: 0.7519, Std: 0.1936, Max Loss: 14.2979, Max Std: 6.4826, Samples: 9735
Length: 74, Average Loss: 0.7241, Std: 0.1737, Max Loss: 13.7335, Max Std: 6.0950, Samples: 10136
Length: 75, Average Loss: 0.7277, Std: 0.1666, Max Loss: 13.8624, Max Std: 5.9697, Samples: 10893
Length: 76, Average Loss: 0.7268, Std: 0.1706, Max Loss: 13.9132, Max Std: 5.9737, Samples: 10229
Length: 77, Average Loss: 0.7285, Std: 0.1870, Max Loss: 14.1901, Max Std: 5.9236, Samples: 9230
Length: 78, Average Loss: 0.7314, Std: 0.1687, Max Loss: 14.1093, Max Std: 5.9194, Samples: 9900
Length: 79, Average Loss: 0.7126, Std: 0.1606, Max Loss: 13.8468, Max Std: 5.8342, Samples: 9533
Length: 80, Average Loss: 0.7502, Std: 0.1878, Max Loss: 14.4528, Max Std: 6.3661, Samples: 15780
Length: 81, Average Loss: 0.7134, Std: 0.1604, Max Loss: 14.0594, Max Std: 5.9746, Samples: 10596
Length: 82, Average Loss: 0.7165, Std: 0.1644, Max Loss: 14.0941, Max Std: 6.0715, Samples: 10366
Length: 83, Average Loss: 0.7350, Std: 0.1855, Max Loss: 14.5773, Max Std: 6.8807, Samples: 8928
Length: 84, Average Loss: 0.7180, Std: 0.1705, Max Loss: 14.3787, Max Std: 6.3499, Samples: 7462
Length: 85, Average Loss: 0.7182, Std: 0.1730, Max Loss: 14.2288, Max Std: 5.8876, Samples: 7435
Length: 86, Average Loss: 0.7124, Std: 0.1609, Max Loss: 14.3041, Max Std: 6.0825, Samples: 7691
Length: 87, Average Loss: 0.7150, Std: 0.1909, Max Loss: 14.4267, Max Std: 8.0570, Samples: 8403
Length: 88, Average Loss: 0.7125, Std: 0.1648, Max Loss: 14.4007, Max Std: 6.3255, Samples: 6792
Length: 89, Average Loss: 0.7220, Std: 0.1693, Max Loss: 14.6582, Max Std: 6.5033, Samples: 9362
Length: 90, Average Loss: 0.7191, Std: 0.1752, Max Loss: 14.7116, Max Std: 6.3550, Samples: 8632
Length: 91, Average Loss: 0.7068, Std: 0.1536, Max Loss: 14.4656, Max Std: 5.9507, Samples: 7996
Length: 92, Average Loss: 0.7232, Std: 0.1702, Max Loss: 14.9421, Max Std: 6.5571, Samples: 8799
