Length: 10, Average Loss: 0.7463, Std: 0.3198, Max Loss: 5.3156, Max Std: 2.7805, Samples: 1110
Length: 11, Average Loss: 0.7313, Std: 0.2812, Max Loss: 5.7175, Max Std: 2.8674, Samples: 909
Length: 12, Average Loss: 0.6932, Std: 0.2511, Max Loss: 5.2654, Max Std: 2.3705, Samples: 1010
Length: 13, Average Loss: 0.5219, Std: 0.1991, Max Loss: 4.1954, Max Std: 2.0273, Samples: 10393
Length: 14, Average Loss: 0.5427, Std: 0.1968, Max Loss: 4.4580, Max Std: 2.0674, Samples: 8779
Length: 15, Average Loss: 0.5780, Std: 0.2010, Max Loss: 4.9167, Max Std: 2.1492, Samples: 8742
Length: 16, Average Loss: 0.5654, Std: 0.1979, Max Loss: 4.9521, Max Std: 2.2104, Samples: 7904
Length: 17, Average Loss: 0.6109, Std: 0.1959, Max Loss: 5.5479, Max Std: 2.3405, Samples: 7229
Length: 18, Average Loss: 0.6149, Std: 0.2004, Max Loss: 5.6723, Max Std: 2.4308, Samples: 7694
Length: 19, Average Loss: 0.6430, Std: 0.2068, Max Loss: 6.0776, Max Std: 2.5610, Samples: 7732
Length: 20, Average Loss: 0.6566, Std: 0.2032, Max Loss: 6.3563, Max Std: 2.6246, Samples: 6995
Length: 21, Average Loss: 0.6711, Std: 0.2058, Max Loss: 6.7179, Max Std: 2.7970, Samples: 6859
Length: 22, Average Loss: 0.6831, Std: 0.2009, Max Loss: 6.9273, Max Std: 2.7763, Samples: 6590
Length: 23, Average Loss: 0.6938, Std: 0.2004, Max Loss: 7.2197, Max Std: 2.9042, Samples: 6321
Length: 24, Average Loss: 0.6915, Std: 0.1967, Max Loss: 7.3147, Max Std: 2.9197, Samples: 6453
Length: 25, Average Loss: 0.7274, Std: 0.1990, Max Loss: 7.7759, Max Std: 3.0135, Samples: 6084
Length: 26, Average Loss: 0.7341, Std: 0.2062, Max Loss: 7.9978, Max Std: 3.1904, Samples: 5452
Length: 27, Average Loss: 0.7268, Std: 0.2020, Max Loss: 8.0178, Max Std: 3.0234, Samples: 5683
Length: 28, Average Loss: 0.7256, Std: 0.2015, Max Loss: 8.1780, Max Std: 3.2020, Samples: 5078
Length: 29, Average Loss: 0.7382, Std: 0.1943, Max Loss: 8.5101, Max Std: 3.2856, Samples: 5848
Length: 30, Average Loss: 0.7160, Std: 0.1883, Max Loss: 8.3625, Max Std: 3.2072, Samples: 17762
Length: 31, Average Loss: 0.7257, Std: 0.1897, Max Loss: 8.5414, Max Std: 3.2069, Samples: 17401
Length: 32, Average Loss: 0.7251, Std: 0.1898, Max Loss: 8.6296, Max Std: 3.2615, Samples: 15991
Length: 33, Average Loss: 0.7446, Std: 0.1894, Max Loss: 9.0253, Max Std: 3.3956, Samples: 16494
Length: 34, Average Loss: 0.7444, Std: 0.1875, Max Loss: 9.1228, Max Std: 3.3794, Samples: 16724
Length: 35, Average Loss: 0.7459, Std: 0.1900, Max Loss: 9.2307, Max Std: 3.4152, Samples: 15784
Length: 36, Average Loss: 0.7603, Std: 0.1857, Max Loss: 9.5336, Max Std: 3.4983, Samples: 15920
Length: 37, Average Loss: 0.7927, Std: 0.1990, Max Loss: 10.1061, Max Std: 3.7341, Samples: 15917
